run	hr	min	sec	AoA	AoS	dPb	pBar	temp	B1	B2	B3	B4	B5	B6	rpmWT	rho	q	V	Re	rpsM1	rpsM2	iM1	iM2	dPtQ	tM1	tM2	vM1	vM2	pInf	nu	J_M1	J_M2	FX	FY	FZ	MX	MY	MZ	CFX	CFY	CFZ	CMX	CMY	CMZ	CN	CT	CY	CL	CD	CYaw	CMroll	CMpitch	CMpitch25c	CMyaw
31	13	19	51	5	0	103.25	101133	292.43	380.5	-35.4	247.2	265.2	316.8	7.3	244.05	1.20479571667264	240.870940067294	19.9963391577838	219606.760556743	0	0	0	0	0	0	0	0	0	101133	1.50222549565616e-05	Inf	Inf	3.50535968772551	-0.507605927985199	39.1991031141915	-0.241830201232846	-0.431289543018162	-0.0485283681445305	0.0670114416764203	-0.00970382730105982	0.749363445155907	-0.00331022935171867	-0.0499752484607873	-0.00066426785324618	0.752352322979979	0.00144511525902702	0.00970382730105982	0.749363445155907	0.0670114416764203	0.00970382730105982	-0.00596438299967582	-0.0688626222079817	-0.0688626222079817	-0.00118157034388488
32	13	20	43	6	0	103.22	101131	292.42	405.8	-33.3	274.5	290.1	358	7.4	244.073	1.20481309075748	240.800959839652	19.9932900200149	219582.252661361	0	0	0	0	0	0	0	0	0	101131	1.50216406911397e-05	Inf	Inf	3.74043245306962	-0.445780510774064	43.4657973265662	-0.218556431575119	-0.287654195639362	-0.0491265706537716	0.0715260733632344	-0.00852439655509864	0.831170686111461	-0.00299252187062457	-0.033341331558235	-0.000672651617024895	0.834093956658347	-0.0157467484828981	0.00852439655509864	0.831170686111461	0.0715260733632344	0.00852439655509864	-0.0052952819157587	-0.0535011676471819	-0.0535011676471819	-0.00122247444230938
33	13	21	27	7	0	103.38	101129	292.41	435.6	-28.6	300.9	312.2	403.5	8	244.134	1.20483046603066	241.174188682913	20.0086340184298	219759.759163395	0	0	0	0	0	0	0	0	0	101129	1.5021026422051e-05	Inf	Inf	4.01138793651819	-0.359227914892201	47.5619305407443	-0.18401128904174	-0.139036500316116	-0.056834317815022	0.0765886860736618	-0.00685867197039425	0.908091120801488	-0.00251562323318416	-0.0160904593512736	-0.000776983472493421	0.910656160175232	-0.0346506630224435	0.00685867197039425	0.908091120801488	0.0765886860736618	0.00685867197039425	-0.00432090943650999	-0.0376772078600556	-0.0376772078600556	-0.00129777835145283
34	13	22	32	8	0	103.38	101125	292.39	473.4	-26.1	318.1	326.2	456.1	11.9	244.357	1.20486522014252	241.174188682913	20.0083454436964	219774.564736599	0	0	0	0	0	0	0	0	0	101125	1.50197978728739e-05	Inf	Inf	4.35878870751275	-0.278656773681267	50.7460772218346	-0.170757230659176	0.00819888072421993	-0.07821930073668	0.0832215445786273	-0.00532034211089004	0.968885442973726	-0.00233442664804641	0.00094884261844233	-0.00106933814355258	0.971038516871107	-0.0524311533461524	0.00532034211089004	0.968885442973726	0.0832215445786273	0.00532034211089004	-0.00364784572079074	-0.0225073967483408	-0.0225073967483408	-0.00156661341903386
35	13	23	19	9	0	103.23	101123	292.37	519.8	-38.3	319.2	335.3	516.6	21.6	244.392	1.20492380986487	240.824286572944	19.9933397396846	219632.048502332	0	0	0	0	0	0	0	0	0	101123	1.50182722733563e-05	Inf	Inf	4.78176670360068	-0.351105720662045	52.8520852912678	-0.110541587543133	0.177112460577877	-0.142817705914176	0.0914300342232533	-0.00671333631394819	1.01056121439639	-0.00151341268783442	0.020526706630173	-0.00195530146600781	1.0124223374093	-0.0677822241819833	0.00671333631394819	1.01056121439639	0.0914300342232533	0.00671333631394819	-0.00305778149584302	-0.00524311990828532	-0.00524311990828532	-0.00240957087283661
36	13	24	5	10	0	103.31	101121	292.37	578	-49.4	314.4	338.1	585.1	27.7	244.733	1.20489997900919	241.010900772458	20.001282429262	219714.95543258	0	0	0	0	0	0	0	0	0	101121	1.50185693090318e-05	Inf	Inf	5.31982252925913	-0.450452080458129	54.4598664010606	-0.104717317757598	0.305369483701484	-0.181494041616118	0.101639200351577	-0.00860622492623727	1.04049660337605	-0.00143256316234549	0.0353638378070204	-0.00248289092742336	1.04233858390818	-0.080585266528688	0.00860622492623727	1.04049660337605	0.101639200351577	0.00860622492623727	-0.00336848818323868	0.0067165274913297	0.0067165274913297	-0.00303010206972218
37	13	24	54	11	0	103.31	101121	292.37	660.3	-17	316.1	314.6	668.1	9.1	245.065	1.20489997900919	241.010900772458	20.001282429262	219714.95543258	0	0	0	0	0	0	0	0	0	101121	1.50185693090318e-05	Inf	Inf	6.07318486176934	-0.164240886661309	55.1618093534977	-0.212817628974629	0.393582678412274	-0.0602268925716617	0.116032752886496	-0.00313794535315341	1.05390775007986	-0.00291140665264645	0.0455795184060715	-0.000823921291418308	1.05668458933361	-0.0871941746086431	0.00313794535315341	1.05390775007986	0.116032752886496	0.00313794535315341	-0.00356889389120532	0.0128753425838959	0.0128753425838959	-0.00148976059466389
38	13	25	36	12	0	103.21	101122	292.37	752.9	-8.9	319.5	309.6	756.9	6	245.263	1.20491189443703	240.777633115615	19.9915018981578	219609.687604044	0	0	0	0	0	0	0	0	0	101122	1.50184207897254e-05	Inf	Inf	6.926729345388	-0.0811198821284368	57.2288537116678	-0.254701239539648	0.425736989543429	-0.0375117853289204	0.132468573172708	-0.00155135771959202	1.09445947971706	-0.00348776225315231	0.0493509690723666	-0.000513669227346634	1.09808467921417	-0.0979771039379848	0.00155135771959202	1.09445947971706	0.132468573172708	0.00155135771959202	-0.00373244815445519	0.0120143085159217	0.0120143085159217	-0.0012784639289823
39	13	26	26	13	0	103.1	101122	292.35	901.3	-64.4	277.1	312	883.9	38	245.943	1.2049943238466	240.521039762023	19.980163305456	219511.770795067	0	0	0	0	0	0	0	0	0	101122	1.50165981947414e-05	Inf	Inf	8.29019391106925	-0.570530683444479	57.8577902039441	-0.058532821359863	0.414276270281437	-0.248061540203315	0.158712962253722	-0.0109226172267465	1.10766785086429	-0.00080237675970182	0.0480736864075099	-0.00340046507601739	1.11498104380418	-0.0945258916013104	0.0109226172267465	1.10766785086429	0.158712962253722	0.0109226172267465	-0.00301654217514413	0.00333996688711314	0.00333996688711314	-0.0039918857191904
40	13	27	3	14	0	103.2	101118	292.35	982.6	-56.2	283.4	312.7	969.2	31.3	246.643	1.20494665887464	240.754306400832	19.9902450991264	219613.846844775	0	0	0	0	0	0	0	0	0	101118	1.50171922174948e-05	Inf	Inf	9.03607397021268	-0.522933791853987	60.3704583543865	-0.0938166435039274	0.493545418988223	-0.203299038295585	0.17282497168582	-0.0100016907861365	1.1546522073802	-0.00128480666978285	0.0572167917141308	-0.00278415375574242	1.16216424691335	-0.111644319347237	0.0100016907861365	1.1546522073802	0.17282497168582	0.0100016907861365	-0.00330836436986754	0.00850556044648614	0.00850556044648614	-0.00350181827018489
